query
CHEMBL101740
CHEMBL1077273
CHEMBL1083668
CHEMBL1083669
CHEMBL1221541
CHEMBL140908
CHEMBL143463
CHEMBL229401
CHEMBL236514
CHEMBL27
CHEMBL29141
CHEMBL320761
CHEMBL368457
CHEMBL39915
CHEMBL417325
CHEMBL513104
CHEMBL513389
CHEMBL57185
CHEMBL72
CHEMBL98773
