RefMol,EF1%,BEDROC,Target,n_neighbors,metric
ligand_CHEMBL418074,13.650678733031674,0.2915614799845391,ADA,50,cosine
ligand_CHEMBL436332,7.583710407239819,0.1628020639372333,ADA,50,cosine
ligand_CHEMBL604966,7.583710407239819,0.3076668049195763,ADA,50,cosine
ligand_CHEMBL81378,18.200904977375565,0.3687171585431276,ADA,50,cosine
ligand_CHEMBL104714,27.301357466063347,0.5280583166502922,ADA,100,euclidean
ligand_CHEMBL127469,16.684162895927603,0.5051007439329653,ADA,100,euclidean
ligand_CHEMBL128787,9.100452488687782,0.3009194226314073,ADA,100,euclidean
ligand_CHEMBL17351,6.066968325791856,0.2295486067099887,ADA,100,euclidean
ligand_CHEMBL18838,22.75113122171945,0.4619197514988802,ADA,100,euclidean
ligand_CHEMBL190280,24.267873303167423,0.5193966163213435,ADA,100,euclidean
ligand_CHEMBL290030,6.066968325791856,0.1600828931950914,ADA,100,euclidean
ligand_CHEMBL295003,16.684162895927603,0.3606147296428335,ADA,100,euclidean
ligand_CHEMBL295417,24.267873303167423,0.4378953274238581,ADA,100,euclidean
ligand_CHEMBL328139,9.100452488687782,0.3025449045902988,ADA,100,euclidean
ligand_CHEMBL35316,10.617194570135746,0.3079578787682701,ADA,100,euclidean
ligand_CHEMBL36986,6.066968325791856,0.1796653190598112,ADA,100,euclidean
ligand_CHEMBL37183,7.583710407239819,0.2703860139387404,ADA,100,euclidean
ligand_CHEMBL38218,15.167420814479636,0.3319911525536622,ADA,100,euclidean
ligand_CHEMBL38306,9.100452488687782,0.3410150397262815,ADA,100,euclidean
ligand_CHEMBL405920,10.617194570135746,0.3528915844698974,ADA,100,euclidean
ligand_CHEMBL418074,25.784615384615385,0.4805724792591845,ADA,100,euclidean
ligand_CHEMBL436332,10.617194570135746,0.3122459653572537,ADA,100,euclidean
ligand_CHEMBL604966,9.100452488687782,0.2854009563995417,ADA,100,euclidean
ligand_CHEMBL81378,36.40180995475113,0.5104568583307092,ADA,100,euclidean
ligand_CHEMBL104714,18.200904977375565,0.3831788388296366,ADA,100,cosine
ligand_CHEMBL127469,6.066968325791856,0.1821826685244021,ADA,100,cosine
ligand_CHEMBL128787,6.066968325791856,0.1313808661152308,ADA,100,cosine
ligand_CHEMBL17351,4.550226244343891,0.1627267629605477,ADA,100,cosine
ligand_CHEMBL18838,15.167420814479636,0.2911428158927812,ADA,100,cosine
ligand_CHEMBL190280,12.133936651583712,0.2172551101219337,ADA,100,cosine
ligand_CHEMBL290030,6.066968325791856,0.110079268048113,ADA,100,cosine
ligand_CHEMBL295003,12.133936651583712,0.1932978718664654,ADA,100,cosine
ligand_CHEMBL295417,13.650678733031674,0.2740618879472788,ADA,100,cosine
ligand_CHEMBL328139,4.550226244343891,0.181441060446526,ADA,100,cosine
